Start LPG listening ....
11000000		C0
11111000		F8
11100000		E0
11111110		FE
10000000		80
10000000		80
11111100		FC
11111000		F8
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11100000		E0
11111000		F8
11111000		F8
11000000		C0
11111100		FC
11111110		FE
11111110		FE
11111100		FC
11111000		F8
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11000000		C0
11100000		E0
10000000		80
11000000		C0
11111000		F8
11100000		E0
11111100		FC
11111100		FC
11110000		F0
10000000		80
10000000		80
10000000		80
11110000		F0
11110000		F0
10000000		80
11000000		C0
10		2
11111110		FE
10000000		80
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11111000		F8
11000000		C0
11111000		F8
11111000		F8
10000000		80
11111000		F8
11100000		E0
11111000		F8
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11100000		E0
11111000		F8
11111000		F8
11000000		C0
11111000		F8
11111000		F8
11000000		C0
11100000		E0
100		4
100000		20
11111100		FC
11111000		F8
11000000		C0
11100000		E0
11111000		F8
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11110000		F0
11110000		F0
11000000		C0
11000000		C0
11100000		E0
10000		10
11111100		FC
11110000		F0
11111000		F8
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11111000		F8
11100000		E0
11000000		C0
11100000		E0
11111100		FC
11110000		F0
10000000		80
11000000		C0
11100000		E0
11111000		F8
11100000		E0
11111100		FC
11111000		F8
11100000		E0
11111100		FC
11111110		FE
10000000		80
11000000		C0
11111000		F8
11000000		C0
11100000		E0
11111000		F8
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11111100		FC
11111000		F8
11111000		F8
11100000		E0
11111100		FC
11111000		F8
10000		10
11000000		C0
11100000		E0
11111100		FC
11100000		E0
11111100		FC
11111000		F8
11100000		E0
11111000		F8
11100000		E0
10000000		80
11000000		C0
11110000		F0
10000000		80
10000000		80
10000000		80
10000000		80
11000000		C0
11000000		C0
11100000		E0
11111000		F8
11111000		F8
11100000		E0
11100000		E0
11111100		FC
11111000		F8
11111110		FE
10000000		80
10000000		80
11000000		C0
11100000		E0
10000000		80
11000000		C0
11110000		F0
10000000		80
100000		20
11000000		C0
11100000		E0
11111000		F8
11100000		E0
11111100		FC
11110000		F0
11100000		E0
11111100		FC
11111110		FE
10000000		80
11000000		C0
10000000		80
10000		10
100000		20
11100000		E0
11110000		F0
11000000		C0
11100000		E0
11111000		F8
11100000		E0
11111100		FC
11111000		F8
11110000		F0
11100000		E0
11000000		C0
100000		20
11111100		FC
11110000		F0
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11111000		F8
11100000		E0
11000000		C0
11100000		E0
11111100		FC
11000000		C0
11111000		F8
10000000		80
11000000		C0
11100000		E0
11111100		FC
11110000		F0
11110000		F0
11100000		E0
10000000		80
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11100000		E0
11111100		FC
11111000		F8
10000000		80
11000000		C0
11111000		F8
11100000		E0
11111100		FC
11000000		C0
11100000		E0
11111100		FC
11110000		F0
10000000		80
10000000		80
11000000		C0
11000000		C0
11111100		FC
11111110		FE
11111100		FC
11111000		F8
11111110		FE
11111110		FE
11000000		C0
11100000		E0
11111000		F8
11000000		C0
11100000		E0
11111100		FC
11110000		F0
11000000		C0
11111000		F8
11100000		E0
11111100		FC
10000000		80
11000000		C0
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11100000		E0
10000000		80
11100000		E0
11111000		F8
11100000		E0
